center,acc,prec0,rec0,auroc,auprc,f1macro
264,0.9207921,0.30769232,0.36363637,0.9005235602094241,0.25606565814779003,0.6456140350877193
420,0.9189189,0.6315789,0.7058824,0.9348899865289626,0.7555482245533887,0.8102564102564103
443,0.95620435,0.85714287,0.54545456,0.9783549783549783,0.7394379719972606,0.8216145833333333
458,0.8992248,0.6363636,0.4375,0.8512168141592921,0.6813560549304182,0.7311207311207311
338,0.9126984,0.45454547,0.5,0.7620689655172413,0.43639910709402574,0.7142857142857142
252,0.8981481,0.5625,0.6923077,0.9433198380566802,0.683575381944947,0.7809330628803246
122,0.9811321,0.8888889,0.8888889,0.9725085910652921,0.875687222526303,0.9392898052691867
300,0.99038464,1.0,0.85714287,0.9307805596465389,0.8744883697713886,0.958974358974359
188,0.93203884,0.61538464,0.8,0.9430107526881721,0.7234571266636484,0.8287004038964124
73,0.9708738,0.0,0.0,0.8019801980198019,0.046416788856304986,0.49261083743842365
